cell_id,date,frp_sum,frp_max,n_det,y,frp_sum_l1,n_det_l1,frp_sum_l3,n_det_l3,frp_sum_l7,n_det_l7,frp_sum_l30,frp_max_l3,frp_max_l7,frp_max_l30,n_det_l30,frp_sum_l1_l3,frp_sum_l1_l7,frp_sum_l1_l30,n_det_l1_l3,n_det_l1_l7,n_det_l1_l30,frp_sum_l3_l3,frp_sum_l3_l7,frp_sum_l3_l30,n_det_l3_l3,n_det_l3_l7,n_det_l3_l30,frp_sum_l7_l3,frp_sum_l7_l7,frp_sum_l7_l30,n_det_l7_l3,n_det_l7_l7,n_det_l7_l30
56621,2025-07-25,5.53,1.88,4,1.0,5.14,3.0,6.88,4.333333333333333,6.342857142857147,4.0,6.767241379310345,2.3833333333333333,2.3314285714285714,2.423448275862069,3.9655172413793105,7.576666666666665,6.26,6.782413793103448,5.0,4.142857142857143,4.0344827586206895,6.696666666666666,6.115238095238095,7.038563218390805,4.444444444444444,3.952380952380952,4.091954022988506,6.115238095238099,5.9304081632653105,7.241798029556654,3.952380952380952,3.775510204081633,4.103448275862069
56621,2025-07-26,5.5,1.68,4,1.0,5.53,4.0,6.003333333333333,3.6666666666666665,6.351428571428576,4.142857142857143,6.688620689655172,2.1766666666666667,2.2214285714285715,2.356206896551724,3.9310344827586206,6.879999999999999,6.3428571428571425,6.529310344827586,4.333333333333333,4.0,3.896551724137931,6.957777777777778,6.21047619047619,6.915229885057471,4.5555555555555545,4.0476190476190474,4.045977011494252,6.210476190476196,5.990612244897963,7.136724137931038,4.0476190476190474,3.816326530612245,4.078817733990148
56621,2025-07-27,7.47,2.16,5,1.0,5.5,4.0,5.390000000000001,3.6666666666666665,6.108571428571432,4.0,6.559310344827586,1.9633333333333332,2.117142857142857,2.3113793103448277,3.896551724137931,6.003333333333333,6.351428571428571,6.450689655172414,3.6666666666666665,4.142857142857143,3.8620689655172415,6.82,6.318095238095237,6.806379310344827,4.333333333333333,4.095238095238096,3.9885057471264362,6.318095238095243,6.073877551020412,7.0230295566502505,4.095238095238095,3.89795918367347,4.0492610837438425
56621,2025-07-28,6.31,2.57,4,1.0,7.47,5.0,6.166666666666667,4.333333333333333,6.624285714285718,4.428571428571429,6.552758620689655,1.9066666666666665,2.1457142857142855,2.3024137931034483,3.9310344827586206,5.389999999999998,6.1085714285714285,6.3213793103448275,3.6666666666666665,4.0,3.8275862068965516,6.091111111111111,6.267619047619047,6.652701149425287,3.888888888888889,4.047619047619047,3.9195402298850577,6.2676190476190525,6.108571428571432,6.87879310344828,4.0476190476190474,3.938775510204082,4.004926108374384
56621,2025-07-29,4.85,1.99,3,1.0,6.31,4.0,6.426666666666667,4.333333333333333,6.492857142857147,4.285714285714286,6.364827586206897,2.1366666666666667,2.2057142857142855,2.307241379310345,3.8620689655172415,6.166666666666665,6.624285714285714,6.3148275862068965,4.333333333333333,4.428571428571429,3.8620689655172415,5.853333333333334,6.361428571428571,6.581206896551723,3.888888888888889,4.190476190476191,3.908045977011494,6.361428571428576,6.253265306122453,6.7682019704433545,4.19047619047619,4.061224489795918,3.975369458128079
56621,2025-07-30,3.53,2.24,2,1.0,4.85,3.0,6.21,4.0,6.020000000000004,3.857142857142857,6.2748275862068965,2.2399999999999998,2.132857142857143,2.292758620689655,3.8275862068965516,6.426666666666665,6.492857142857143,6.126896551724138,4.333333333333333,4.285714285714286,3.793103448275862,5.9944444444444445,6.4085714285714275,6.473275862068965,4.111111111111111,4.238095238095238,3.8850574712643673,6.408571428571432,6.3155102040816375,6.6578571428571465,4.238095238095238,4.142857142857143,3.940886699507389
56621,2025-07-31,5.33,2.48,4,1.0,3.53,2.0,4.8966666666666665,3.0,5.4757142857142895,3.5714285714285716,6.175172413793103,2.2666666666666666,2.1214285714285714,2.282758620689655,3.793103448275862,6.209999999999998,6.0200000000000005,6.036896551724138,4.0,3.857142857142857,3.7586206896551726,6.267777777777778,6.379047619047618,6.378448275862068,4.222222222222221,4.190476190476191,3.862068965517241,6.379047619047623,6.3142857142857185,6.552093596059118,4.19047619047619,4.122448979591836,3.901477832512315
57723,2025-07-09,9.61,9.61,1,0.0,7.56,2.0,4.1899999999999995,2.5,5.531666666666671,3.6666666666666665,5.928571428571429,2.115,2.0866666666666664,2.245357142857143,3.7142857142857144,5.579999999999998,5.800000000000001,6.0232142857142845,3.5,3.8333333333333335,3.7857142857142856,6.318333333333334,6.179444444444443,6.301011904761904,4.166666666666666,4.055555555555555,3.845238095238095,6.256428571428575,6.323333333333338,6.465484693877555,4.071428571428571,4.1190476190476195,3.8673469387755106
57723,2025-07-10,23.82,11.68,3,1.0,9.61,1.0,6.569999999999999,1.5,6.2116666666666704,3.1666666666666665,6.055517241379311,5.925,3.375,2.4993103448275864,3.6206896551724137,6.204999999999998,6.203333333333333,6.0762068965517235,2.5,3.6666666666666665,3.7241379310344827,5.199999999999999,5.731111111111111,6.228218390804597,3.25,3.75,3.7988505747126435,5.775833333333337,6.188134920634925,6.433284072249593,3.761904761904761,4.063492063492064,3.860426929392447
57723,2025-07-25,0.99,0.99,1,0.0,23.82,3.0,16.715,2.0,9.265000000000004,3.0,6.687241379310345,10.645,5.041666666666667,2.829310344827586,3.6206896551724137,8.584999999999997,6.883333333333333,6.1944827586206905,1.5,3.1666666666666665,3.6206896551724137,5.379999999999999,5.825555555555554,6.118563218390803,2.0,3.388888888888889,3.6954022988505746,5.871666666666671,6.164841269841273,6.327766830870283,3.4166666666666656,3.9007936507936507,3.8087027914614127
